"","Month","Year","SPI3","SPEI3","SMI(PREC-PET3)","SMI(PREC-RH3)","SMI(PREC-TMean3)","SMI(PREC-PET-RH3)","SPI6","SPEI6","SMI(PREC-PET6)","SMI(PREC-RH6)","SMI(PREC-TMean6)","SMI(PREC-PET-RH6)","SPI9","SPEI9","SMI(PREC-PET9)","SMI(PREC-RH9)","SMI(PREC-TMean9)","SMI(PREC-PET-RH9)","SPI12","SPEI12","SMI(PREC-PET12)","SMI(PREC-RH12)","SMI(PREC-TMean12)","SMI(PREC-PET-RH12)"
"1",1,1950,NA,NA,0.555919778710899,0.0662862449023398,0.578309063099976,0.430708797025458,NA,NA,0.393094645322201,0.0468714532698367,0.408926260139632,0.304557111093401,NA,NA,0.320960433886575,0.0382703813379353,0.333886893255571,0.248669839904988,NA,NA,0.277959889355449,0.0331431224511699,0.289154531549988,0.215354398512729
"2",2,1950,NA,NA,-0.0191378783969648,-0.549079466473803,0,-0.220694331970274,NA,NA,-0.0135325235920173,-0.388257814153918,0,-0.156054458705616,NA,NA,-0.0110492592442059,-0.317011177775146,0,-0.127417931971662,NA,NA,-0.00956893919848238,-0.274539733236902,0,-0.110347165985137
"3",3,1950,0.201344723083355,0.420802714432358,0.448995865456941,-0.0385291586088765,0.565411058532901,0.520558256278405,NA,NA,0.317488021189326,-0.0272442293257486,0.399805993646479,0.368090273017105,NA,NA,0.259227883786594,-0.0222448200944846,0.326440226846762,0.300544449391219,NA,NA,0.22449793272847,-0.0192645793044382,0.282705529266451,0.260279128139203
"4",4,1950,0.6953804552837,0.606896942846691,-1.05391774077449,-0.935790202909723,-0.991611705638676,-0.620933294534984,NA,NA,-0.352137735992245,-0.614832144975564,-0.292249101221435,-0.13450903213679,NA,NA,-0.287519257453298,-0.502008344217008,-0.238620391926502,-0.109826164843586,NA,NA,-0.248998981031795,-0.434751979003692,-0.20665132126935,-0.0951122487547632
"5",5,1950,2.47696725030099,2.37152462368124,0.516888398645126,1.2838815383401,0.565411058532901,1.26324595900316,NA,NA,0.351962768206607,0.519583527846581,0.399805993646479,0.737195325212022,NA,NA,0.287376396854552,0.424238173993099,0.326440226846762,0.601917462511519,NA,NA,0.248875260124081,0.367401035933147,0.282705529266451,0.521275813516443
"6",6,1950,1.99929684518382,1.84904525249055,0.132962364928141,0.154469988036329,0.0901987514805883,0.276918461665233,1.51057662641565,1.56518784870805,0.411506611072615,0.0819825467045444,0.463586142472963,0.563901195096338,NA,NA,0.335993740969945,0.0669384690800081,0.378516500294648,0.460423397777219,NA,NA,0.290979115192541,0.0579704147137262,0.327804905006745,0.398738358971819
"7",7,1950,1.69995510255335,1.67808607805153,1.31641616561668,0.159994209452982,1.3053724257202,0.685164952391592,1.50898791811135,1.51835742956791,0.185614416256699,-0.548570607790616,0.221862332839617,0.0454186408372617,NA,NA,0.472513970131065,-0.409635644320547,0.515036729455768,0.285754004858996,NA,NA,0.409209101776544,-0.354754874277201,0.446034891590748,0.247470227441033
"8",8,1950,-0.581021684582771,-0.0902230766718322,0.591927753056438,-2.60904485398241,0.604551061201352,-1.08498521016145,1.87471774197158,1.79786807693912,0.784051419957348,-0.93703196667033,0.827288148595478,0.126049384325363,NA,NA,0.629126044422497,-1.08209457478145,0.675477944770236,-0.0244990406419586,NA,NA,0.5448391366523,-0.937121391058059,0.584981059867127,-0.0212167915642836
"9",9,1950,-0.769887927701253,-0.77947334588283,-0.389796691841181,-1.89998486006298,-0.383164425039935,-1.82703398058284,1.62635169343331,1.38947860040004,-0.181609294201693,-1.23426540267202,-0.207158014428698,-1.09609719504914,1.29669883156912,1.25215474710725,0.110944516006214,-1.03001830133357,0.157296416353953,-0.594415162730876,NA,NA,0.0960807692719507,-0.892022015317765,0.136222692486778,-0.5147786313196
"10",10,1950,-0.65597746643816,-0.662498828455897,-0.179738745228088,-0.638592158790182,-0.199277684033056,-1.32619258567901,1.20074289641658,1.28237761499423,0.803752311978404,-0.33841985543831,0.782127092481759,-0.453274986425494,1.16489849779974,1.1847330649155,0.0477813233032487,-0.816597380438379,0.0660968116802261,-0.728593481385052,NA,NA,0.3193397291625,-0.674050953672292,0.34639604957422,-0.41562606539847
