"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",1,0.991611705638676,0.991611705638676,0.991611705638676,"4","4",7
"2",7,6.27965018202006,0.897092883145722,1.3321082727025,"11","17",10
"3",1,0.734456141594158,0.734456141594158,0.734456141594158,"21","21",12
"4",6,7.27985842586514,1.21330973764419,1.86021879790202,"33","38",22
"5",2,1.76097594069985,0.880487970349926,0.901820607426711,"55","56",7
"6",2,2.83802734567717,1.41901367283859,1.71304113781776,"62","63",4
"7",2,1.37557172653609,0.687785863268046,0.87223723046056,"66","67",12
"8",1,1.00259712204636,1.00259712204636,1.00259712204636,"78","78",2
"9",1,0.984652154022615,0.984652154022615,0.984652154022615,"80","80",6
"10",3,2.27248771151625,0.757495903838751,0.812393042892571,"86","88",8
"11",1,0.701393530590387,0.701393530590387,0.701393530590387,"94","94",4
"12",3,2.38394174698276,0.794647248994253,0.835501375148971,"98","100",10
"13",7,9.51034656890341,1.35862093841477,2.81762625024558,"108","114",22
"14",4,4.74677597377584,1.18669399344396,1.71948411251924,"130","133",14
"15",2,1.63782937301499,0.818914686507493,0.898376627381495,"144","145",5
"16",1,0.727258481991575,0.727258481991575,0.727258481991575,"149","149",2
"17",3,3.19111234477446,1.06370411492482,1.24735676085848,"151","153",4
"18",4,4.5213173075025,1.13032932687562,1.67609594622501,"155","158",11
"19",1,0.695813671373648,0.695813671373648,0.695813671373648,"166","166",2
"20",2,1.60095370638151,0.800476853190757,0.99647712315254,"168","169",12
"21",1,0.86019084138189,0.86019084138189,0.86019084138189,"180","180",7
"22",3,2.78901582188647,0.929671940628823,1.13983954078407,"187","189",6
"23",4,5.12372219755586,1.28093054938896,1.82439566769135,"193","196",7
"24",1,1.03041504188149,1.03041504188149,1.03041504188149,"200","200",2
"25",3,4.82948989377629,1.6098299645921,1.91116885841302,"202","204",19
"26",3,3.3120248132368,1.10400827107893,1.45809120315132,"221","223",20
"27",7,6.88985426883165,0.984264895547379,1.37917524269798,"241","247",12
"28",3,2.26216994177548,0.754056647258492,1.05199403558864,"253","255",16
"29",1,0.761982973626458,0.761982973626458,0.761982973626458,"269","269",7
"30",3,3.58299313632927,1.19433104544309,1.68036301745297,"276","278",18
"31",1,0.632473968474279,0.632473968474279,0.632473968474279,"294","294",6
"32",1,0.54089340549109,0.54089340549109,0.54089340549109,"300","300",26
"33",1,0.648778418391662,0.648778418391662,0.648778418391662,"326","326",13
"34",1,0.564290372164871,0.564290372164871,0.564290372164871,"339","339",4
"35",2,1.46731919315519,0.733659596577593,0.919723471855016,"343","344",5
"36",4,2.99380643410011,0.748451608525026,0.971019468221767,"348","351",19
"37",3,2.71570940467851,0.905236468226171,1.18854143668605,"367","369",15
"38",1,1.32811300199534,1.32811300199534,1.32811300199534,"382","382",2
"39",3,3.28068764149551,1.09356254716517,1.85454705152918,"384","386",26
"40",1,0.523876778766509,0.523876778766509,0.523876778766509,"410","410",8
"41",5,5.64649253236248,1.1292985064725,1.61248758850383,"418","422",7
"42",5,5.15170123920657,1.03034024784131,1.45557296221082,"425","429",8
"43",1,0.633802341796909,0.633802341796909,0.633802341796909,"433","433",2
"44",3,4.6757960942107,1.55859869807023,1.66449575412875,"435","437",5
"45",3,3.77332978954272,1.25777659651424,1.3034964770423,"440","442",7
"46",1,0.543910122952327,0.543910122952327,0.543910122952327,"447","447",6
"47",1,0.531421914357438,0.531421914357438,0.531421914357438,"453","453",17
"48",5,7.59518903198741,1.51903780639748,2.79231878426307,"470","474",6
"49",2,1.90537018723089,0.952685093615447,1.15114307447795,"476","477",7
"50",1,0.596900245658405,0.596900245658405,0.596900245658405,"483","483",12
"51",1,0.660232969564365,0.660232969564365,0.660232969564365,"495","495",12
"52",1,0.84260734018793,0.84260734018793,0.84260734018793,"507","507",7
"53",1,0.916086985725384,0.916086985725384,0.916086985725384,"514","514",10
"54",3,4.04197830245303,1.34732610081768,1.58571440436989,"524","526",6
"55",1,0.970713825335182,0.970713825335182,0.970713825335182,"530","530",2
"56",7,7.8721858319895,1.1245979759985,2.13574593735268,"532","538",10
"57",2,1.13711007367388,0.56855503683694,0.606005324494986,"542","543",17
"58",1,0.731147986410509,0.731147986410509,0.731147986410509,"559","559",5
"59",2,2.37024235919468,1.18512117959734,1.46303582260907,"564","565",7
"60",1,1.06614375564293,1.06614375564293,1.06614375564293,"571","571",6
"61",2,1.5424710925991,0.771235546299549,1.03632640303668,"577","578",7
"62",4,4.2657457587502,1.06643643968755,1.49161419246769,"584","587",9
"63",3,2.98425478251441,0.99475159417147,1.36284113131959,"593","595",7
"64",1,1.06417324161659,1.06417324161659,1.06417324161659,"600","600",8
"65",2,1.93370184714449,0.966850923572243,1.15372833285926,"608","609",3
"66",1,0.509573584262766,0.509573584262766,0.509573584262766,"611","611",2
"67",11,17.8701077963673,1.6245552542152,2.7205649856022,"613","623",14
"68",1,0.69592789130096,0.69592789130096,0.69592789130096,"627","627",4
"69",1,1.14593042320276,1.14593042320276,1.14593042320276,"631","631",4
"70",1,0.603329545432206,0.603329545432206,0.603329545432206,"635","635",2
"71",1,0.894517508471855,0.894517508471855,0.894517508471855,"637","637",5
"72",3,3.06075903269752,1.02025301089917,1.64364406060453,"642","644",15
"73",6,5.08458687309934,0.847431145516556,1.5511162743664,"657","662",10
"74",3,2.0853382389989,0.695112746332968,0.974610825488625,"667","669",9
"75",1,0.601579863845588,0.601579863845588,0.601579863845588,"676","676",2
"76",1,0.567988660897659,0.567988660897659,0.567988660897659,"678","678",2
"77",1,0.825144831229248,0.825144831229248,0.825144831229248,"680","680",4
"78",1,0.685575192883519,0.685575192883519,0.685575192883519,"684","684",5
"79",6,12.5451411011555,2.09085685019258,3.29608912217615,"689","694",10
"80",7,10.1280131581923,1.4468590225989,2.42950417273397,"699","705",16
"81",2,1.64502022342004,0.82251011171002,1.07643502901476,"715","716",3
"82",1,0.7431198277061,0.7431198277061,0.7431198277061,"718","718",2
"83",1,1.06138552548636,1.06138552548636,1.06138552548636,"720","720",2
"84",4,4.67881430031272,1.16970357507818,1.55562353304369,"722","725",5
"85",6,9.13797004608982,1.52299500768164,2.44255547401145,"727","732",NA
