"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",6,6.6243902077628,1.10406503462713,1.61324323386021,"12","17",24
"2",3,5.13318856013286,1.71106285337762,1.98344509524477,"36","38",19
"3",1,0.66380149333252,0.66380149333252,0.66380149333252,"55","55",3
"4",2,1.48288404568856,0.74144202284428,0.818944387249941,"58","59",4
"5",2,1.88842770849434,0.94421385424717,1.01577974910144,"62","63",3
"6",2,2.19778173738832,1.09889086869416,1.66620576233623,"65","66",15
"7",2,1.66328076543508,0.831640382717542,0.858209747017226,"80","81",3
"8",1,0.770618483376997,0.770618483376997,0.770618483376997,"83","83",3
"9",2,1.12050995684568,0.560254978422838,0.575750165276555,"86","87",11
"10",5,3.47446239107262,0.694892478214524,0.87700841446138,"97","101",14
"11",6,9.85732117802215,1.64288686300369,2.47452671635653,"111","116",21
"12",3,3.3617430466463,1.12058101554877,1.34528441852983,"132","134",15
"13",2,1.43355135074482,0.716775675372409,0.818040405618824,"147","148",3
"14",11,11.1090590094641,1.00991445540583,1.50780017632772,"150","160",18
"15",2,1.7178314623743,0.858915731187148,1.17309579814454,"168","169",21
"16",11,10.7198195450309,0.974529049548265,1.64330047521916,"189","199",13
"17",4,5.55161884871698,1.38790471217924,2.09114619832395,"202","205",19
"18",1,0.601859903060069,0.601859903060069,0.601859903060069,"221","221",22
"19",6,7.11798739160197,1.18633123193366,1.59290457534178,"243","248",35
"20",1,1.09452587649633,1.09452587649633,1.09452587649633,"278","278",2
"21",2,1.92072333715929,0.960361668579643,1.01452279318923,"280","281",46
"22",1,0.621712741540011,0.621712741540011,0.621712741540011,"326","326",16
"23",3,1.93267567259663,0.644225224198877,0.723997352995597,"342","344",9
"24",2,2.07166180189662,1.03583090094831,1.28543239507434,"351","352",19
"25",3,2.1315482086837,0.710516069561232,0.74041837277201,"370","372",14
"26",4,4.5054017832321,1.12635044580803,1.4657435451594,"384","387",5
"27",1,0.645393922799922,0.645393922799922,0.645393922799922,"389","389",32
"28",6,7.21305620192096,1.20217603365349,1.60010273221454,"421","426",7
"29",2,3.15362551337202,1.57681275668601,1.65014569250571,"428","429",8
"30",10,12.2710914867413,1.22710914867413,1.81050346959956,"436","445",36
"31",6,10.0075572326106,1.66792620543509,1.89647091736612,"472","477",23
"32",1,0.669884592911014,0.669884592911014,0.669884592911014,"495","495",31
"33",5,4.68801359488151,0.937602718976301,1.20217068794273,"526","530",7
"34",7,9.96981330853134,1.42425904407591,2.16366184877272,"533","539",9
"35",1,0.623360673499175,0.623360673499175,0.623360673499175,"542","542",4
"36",1,0.754836615201833,0.754836615201833,0.754836615201833,"546","546",34
"37",1,0.534436257699674,0.534436257699674,0.534436257699674,"580","580",3
"38",7,6.90800776786933,0.986858252552762,1.40945475419096,"583","589",8
"39",8,5.86452749128507,0.733065936410634,0.935364349755921,"591","598",9
"40",1,0.83954480983291,0.83954480983291,0.83954480983291,"600","600",9
"41",1,0.652567197837922,0.652567197837922,0.652567197837922,"609","609",2
"42",17,27.6234261789419,1.6249074222907,2.61574132881837,"611","627",19
"43",2,1.61031587860747,0.805157939303734,1.07075470886621,"630","631",4
"44",2,1.35123018012382,0.67561509006191,0.747149719911353,"634","635",12
"45",2,1.45441263824568,0.72720631912284,0.951363516304177,"646","647",11
"46",7,6.89076908021896,0.984395582888423,1.51935511528747,"657","663",8
"47",1,0.524572891543491,0.524572891543491,0.524572891543491,"665","665",15
"48",1,0.93430333182991,0.93430333182991,0.93430333182991,"680","680",9
"49",9,18.0617651056355,2.00686278951506,3.06261205924939,"689","697",10
"50",11,14.8300493023167,1.34818630021061,2.76704964919012,"699","709",19
"51",15,20.6452213466008,1.37634808977339,2.68800746018241,"718","732",NA
