"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",8,7.0662230937638,0.883277886720476,1.56447970296897,"14","21",24
"2",4,3.7121539900012,0.9280384975003,1.42885805775471,"38","41",20
"3",2,1.12492250714771,0.562461253573857,0.593919430750541,"58","59",3
"4",3,2.85234372400994,0.950781241336648,1.21211787486123,"61","63",4
"5",3,2.46273982843045,0.820913276143483,1.31140960591021,"65","67",13
"6",1,0.668066740726677,0.668066740726677,0.668066740726677,"78","78",2
"7",5,3.16965957296654,0.633931914593307,0.724099829064665,"80","84",6
"8",3,2.20295078826626,0.734316929422088,1.00723976899764,"86","88",12
"9",5,3.56818504212124,0.713637008424248,0.815959402047803,"98","102",14
"10",6,8.71111236947941,1.4518520615799,1.9169330217562,"112","117",24
"11",2,1.20875873095925,0.604379365479623,0.647403211959688,"136","137",14
"12",11,12.668783976209,1.15170763420082,1.71891589099961,"150","160",22
"13",1,0.670443271214562,0.670443271214562,0.670443271214562,"172","172",19
"14",1,0.596408612221271,0.596408612221271,0.596408612221271,"191","191",2
"15",14,17.3002044332062,1.23572888808615,1.89899521625929,"193","206",51
"16",5,5.82106094973365,1.16421218994673,1.50174738301424,"244","248",37
"17",1,0.71253999472002,0.71253999472002,0.71253999472002,"281","281",62
"18",1,0.863409118745738,0.863409118745738,0.863409118745738,"343","343",2
"19",1,0.510807397580968,0.510807397580968,0.510807397580968,"345","345",3
"20",5,3.61176341115707,0.722352682231414,1.01560872571943,"348","352",25
"21",3,2.01359327222597,0.671197757408658,0.86718686542847,"373","375",12
"22",5,4.68108654392066,0.936217308784133,1.24634931693992,"385","389",36
"23",1,0.988718192323939,0.988718192323939,0.988718192323939,"421","421",3
"24",6,8.820595285208,1.47009921420133,2.16131274957039,"424","429",7
"25",3,2.11691874028381,0.705639580094603,0.897797455026565,"431","433",4
"26",3,2.63055072741982,0.876850242473272,1.08956698621183,"435","437",4
"27",9,12.3082416783071,1.36758240870078,1.88067583903358,"439","447",35
"28",7,8.55701715359537,1.2224310219422,1.97428194254098,"474","480",52
"29",1,0.610004342316708,0.610004342316708,0.610004342316708,"526","526",3
"30",14,16.9219196976688,1.20870854983348,1.86367511799732,"529","542",36
"31",1,0.525953193969795,0.525953193969795,0.525953193969795,"565","565",6
"32",1,0.588954311152964,0.588954311152964,0.588954311152964,"571","571",12
"33",18,17.0719041767574,0.948439120930965,1.30190789240336,"583","600",28
"34",20,34.3357853435055,1.71678926717528,3.11138585355269,"611","630",23
"35",1,0.841576185584834,0.841576185584834,0.841576185584834,"634","634",3
"36",1,0.966476872591871,0.966476872591871,0.966476872591871,"637","637",20
"37",9,8.45407924737527,0.939342138597253,1.27867192174236,"657","665",11
"38",1,0.990091919732634,0.990091919732634,0.990091919732634,"668","668",12
"39",1,0.605295991032423,0.605295991032423,0.605295991032423,"680","680",4
"40",1,0.65678727727191,0.65678727727191,0.65678727727191,"684","684",5
"41",23,39.4924634159489,1.71706362678039,2.69501880912346,"689","711",31
"42",13,20.3684382563221,1.56680294279401,2.35493058922098,"720","732",NA
