"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",6,6.53028955422931,1.08838159237155,1.58429153967712,"12","17",24
"2",3,5.14763725900726,1.71587908633575,1.98200487320636,"36","38",19
"3",1,0.555613158226681,0.555613158226681,0.555613158226681,"55","55",3
"4",2,1.56838154678357,0.784190773391784,0.869453420247452,"58","59",4
"5",2,2.18348920317432,1.09174460158716,1.15623387353334,"62","63",3
"6",3,3.0496312835548,1.01654376118493,1.82806786546449,"65","67",15
"7",2,1.67451845240197,0.837259226200986,0.865951382961654,"80","81",3
"8",1,0.783961673318979,0.783961673318979,0.783961673318979,"83","83",3
"9",2,1.12241564856807,0.561207824284037,0.575281249377317,"86","87",12
"10",4,2.93810990525145,0.734527476312862,0.877525084896663,"98","101",13
"11",6,9.58238328899408,1.59706388149901,2.4314957548666,"111","116",21
"12",3,3.45694964224407,1.15231654741469,1.33271718408321,"132","134",15
"13",2,1.35016087225487,0.675080436127437,0.787107187652662,"147","148",4
"14",10,10.4775409708728,1.04775409708728,1.493765004691,"151","160",17
"15",2,1.75161574485586,0.875807872427929,1.19663029654904,"168","169",21
"16",4,2.88130069976174,0.720325174940435,0.975051533514117,"189","192",5
"17",6,6.96271618029337,1.16045269671556,1.58228743283865,"194","199",8
"18",4,5.56319750770156,1.39079937692539,2.08001392332743,"202","205",19
"19",1,0.578073739490059,0.578073739490059,0.578073739490059,"221","221",22
"20",6,7.3176363047908,1.21960605079847,1.62906693497137,"243","248",35
"21",1,1.0577248909738,1.0577248909738,1.0577248909738,"278","278",2
"22",2,1.81605359809022,0.908026799045112,0.968097241391835,"280","281",46
"23",1,0.691612492229692,0.691612492229692,0.691612492229692,"326","326",16
"24",3,1.99485608599807,0.664952028666024,0.786232553399982,"342","344",9
"25",2,1.9128119922386,0.956405996119299,1.22550848210982,"351","352",19
"26",3,2.11056596657445,0.703521988858149,0.742358147683779,"370","372",14
"27",6,5.90786095418844,0.98464349236474,1.50879092455082,"384","389",37
"28",6,7.29793019580389,1.21632169930065,1.62065680431655,"421","426",7
"29",2,3.11431564962775,1.55715782481387,1.62452263103444,"428","429",8
"30",10,12.4869638799164,1.24869638799164,1.8482864560296,"436","445",36
"31",6,9.80035568259306,1.63339261376551,1.82909098971723,"472","477",23
"32",1,0.725487067963462,0.725487067963462,0.725487067963462,"495","495",31
"33",5,4.79724301093258,0.959448602186516,1.22343879729291,"526","530",7
"34",7,10.1533865324574,1.45048379035105,2.18605615185954,"533","539",9
"35",1,0.584141545875457,0.584141545875457,0.584141545875457,"542","542",4
"36",1,0.678225227121186,0.678225227121186,0.678225227121186,"546","546",34
"37",1,0.533555843913538,0.533555843913538,0.533555843913538,"580","580",3
"38",7,6.91482588492767,0.987832269275381,1.42594565353186,"583","589",9
"39",7,5.25882107535952,0.751260153622789,0.918122650481447,"592","598",8
"40",1,0.895461993719999,0.895461993719999,0.895461993719999,"600","600",9
"41",1,0.624490534238934,0.624490534238934,0.624490534238934,"609","609",2
"42",14,25.5026234256783,1.82161595897702,2.72417004346824,"611","624",15
"43",2,1.7051454947106,0.852572747355302,0.916950409920004,"626","627",4
"44",2,1.61748705317182,0.808743526585908,1.10249040616606,"630","631",4
"45",2,1.37060872869264,0.685304364346322,0.749997110899663,"634","635",3
"46",1,0.572221334015563,0.572221334015563,0.572221334015563,"637","637",9
"47",1,0.920202949141785,0.920202949141785,0.920202949141785,"646","646",11
"48",7,6.80306417420366,0.971866310600522,1.48195540014695,"657","663",11
"49",1,0.514077944041138,0.514077944041138,0.514077944041138,"668","668",12
"50",1,0.925817769109009,0.925817769109009,0.925817769109009,"680","680",9
"51",9,17.8853245661173,1.98725828512415,2.98303032558289,"689","697",10
"52",11,14.3297054438124,1.30270049489203,2.65587361910351,"699","709",19
"53",15,21.2605618040463,1.41737078693642,2.7147624465888,"718","732",NA
