"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",4,4.65856579145379,1.16464144786345,1.43664477531334,"6","9",37
"2",1,1.12615799905026,1.12615799905026,1.12615799905026,"43","43",3
"3",1,0.619967786599827,0.619967786599827,0.619967786599827,"46","46",4
"4",14,13.0464688853112,0.931890634665083,1.48995854329154,"50","63",15
"5",1,0.660392530543391,0.660392530543391,0.660392530543391,"65","65",7
"6",15,17.3075590499823,1.15383726999882,1.94150948415773,"72","86",18
"7",7,5.94808016861549,0.849725738373641,1.16234804518193,"90","96",8
"8",1,0.611583903860481,0.611583903860481,0.611583903860481,"98","98",4
"9",2,1.98239288028761,0.991196440143806,1.31846925737887,"102","103",5
"10",2,1.16857309798162,0.584286548990809,0.619666082242056,"107","108",3
"11",2,2.23900153870175,1.11950076935087,1.25792250784718,"110","111",17
"12",2,3.54375656431973,1.77187828215986,1.89261376768425,"127","128",13
"13",4,3.5616186529393,0.890404663234825,1.03031044302891,"140","143",7
"14",1,0.771690954735792,0.771690954735792,0.771690954735792,"147","147",3
"15",1,0.804552753710496,0.804552753710496,0.804552753710496,"150","150",14
"16",2,2.73956738679001,1.369783693395,1.60392936267164,"164","165",3
"17",1,0.708957084873784,0.708957084873784,0.708957084873784,"167","167",16
"18",4,2.95804677955296,0.73951169488824,0.858593466113101,"183","186",11
"19",1,0.604657088091206,0.604657088091206,0.604657088091206,"194","194",2
"20",4,4.72521473523463,1.18130368380866,1.84281436221976,"196","199",44
"21",5,4.87674775944743,0.975349551889486,1.42381558948376,"240","244",10
"22",1,0.782974492284873,0.782974492284873,0.782974492284873,"250","250",15
"23",1,0.732148519352021,0.732148519352021,0.732148519352021,"265","265",7
"24",2,2.67902363808154,1.33951181904077,1.46046791061878,"272","273",3
"25",2,2.22963514708681,1.11481757354341,1.17116087184312,"275","276",8
"26",8,8.38570631660943,1.04821328957618,1.33953653059278,"283","290",11
"27",1,0.701086380194164,0.701086380194164,0.701086380194164,"294","294",2
"28",1,0.583186738036029,0.583186738036029,0.583186738036029,"296","296",2
"29",1,0.827945665936046,0.827945665936046,0.827945665936046,"298","298",9
"30",1,0.51056626261435,0.51056626261435,0.51056626261435,"307","307",33
"31",1,0.507918499011786,0.507918499011786,0.507918499011786,"340","340",25
"32",3,2.26465544088484,0.754885146961612,0.968252355212295,"365","367",15
"33",4,3.58276916018704,0.895692290046759,1.27187030480556,"380","383",33
"34",12,12.0888677149816,1.00740564291513,1.38600319875472,"413","424",18
"35",9,12.2984656385487,1.36649618206097,1.59165088637016,"431","439",36
"36",6,10.681154190334,1.78019236505566,2.14051805490481,"467","472",13
"37",2,2.02693048810828,1.01346524405414,1.22357996178543,"480","481",9
"38",7,7.28669737567179,1.04095676795311,1.69422357090121,"489","495",23
"39",6,5.48206627400533,0.913677712334222,1.37354290183965,"512","517",7
"40",1,0.648130693661044,0.648130693661044,0.648130693661044,"519","519",2
"41",13,16.4422950380814,1.26479192600626,1.7636872611288,"521","533",41
"42",1,0.607311954879899,0.607311954879899,0.607311954879899,"562","562",11
"43",1,1.12455216724032,1.12455216724032,1.12455216724032,"573","573",7
"44",4,4.24291241286507,1.06072810321627,1.52007095527939,"580","583",8
"45",6,6.02586635139546,1.00431105856591,1.1899071682559,"588","593",7
"46",3,2.59106931456168,0.863689771520561,1.25958341025647,"595","597",9
"47",1,0.531897152421358,0.531897152421358,0.531897152421358,"604","604",2
"48",13,24.1578007057509,1.85829236198084,2.93698354651935,"606","618",19
"49",2,1.17057748844684,0.585288744223421,0.610388307639142,"625","626",5
"50",1,0.531498429616179,0.531498429616179,0.531498429616179,"630","630",2
"51",1,0.856014054737078,0.856014054737078,0.856014054737078,"632","632",9
"52",2,1.18345032981364,0.591725164906819,0.64841377946271,"641","642",8
"53",13,14.2188336683806,1.09375643602928,1.97029168124081,"649","661",16
"54",1,0.984775336592889,0.984775336592889,0.984775336592889,"665","665",2
"55",2,1.24431512233324,0.622157561166622,0.744184420648084,"667","668",4
"56",3,2.22479866766744,0.741599555889148,0.993256987235305,"671","673",12
"57",8,14.2960861732799,1.78701077165999,2.48570038011651,"683","690",13
"58",8,10.4742639013396,1.30928298766745,1.84179777514123,"696","703",17
"59",1,1.00968856250348,1.00968856250348,1.00968856250348,"713","713",7
"60",8,9.67958978372622,1.20994872296578,1.572908404062,"720","727",NA
