"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",6,4.91432245995182,0.819053743325304,0.937121391058059,"8","13",9
"2",1,1.16419693030986,1.16419693030986,1.16419693030986,"17","17",65
"3",8,7.68358144362047,0.960447680452559,1.47543933267503,"82","89",10
"4",1,0.519840767949232,0.519840767949232,0.519840767949232,"92","92",21
"5",2,1.97356397541964,0.986781987709821,1.01045609142121,"113","114",4
"6",1,0.70824942835543,0.70824942835543,0.70824942835543,"117","117",77
"7",1,1.033105428167,1.033105428167,1.033105428167,"194","194",2
"8",3,2.07945855937225,0.693152853124084,0.793064057218082,"196","198",4
"9",1,0.855783061949188,0.855783061949188,0.855783061949188,"200","200",2
"10",1,0.750825096449422,0.750825096449422,0.750825096449422,"202","202",43
"11",3,1.86629969278224,0.62209989759408,0.678856805968779,"245","247",4
"12",2,1.19402793191544,0.59701396595772,0.629179002626669,"249","250",4
"13",3,2.22594450542306,0.741981501807687,0.937365481249828,"253","255",29
"14",25,31.1771044635544,1.24708417854218,2.06366264012219,"282","306",26
"15",7,5.21922399948187,0.74560342849741,0.937329106251649,"308","314",21
"16",33,53.8008161950739,1.63032776348709,2.89220365403798,"329","361",36
"17",43,66.8560119415314,1.55479097538445,2.63111564043854,"365","407",59
"18",8,8.54794886597801,1.06849360824725,1.79229678721427,"424","431",9
"19",1,0.516698801511445,0.516698801511445,0.516698801511445,"433","433",2
"20",16,19.319342062979,1.20745887893619,1.96587507925294,"435","450",18
"21",1,1.21448960346193,1.21448960346193,1.21448960346193,"453","453",19
"22",1,0.839839957723737,0.839839957723737,0.839839957723737,"472","472",2
"23",8,6.6770239555041,0.834627994438012,1.0942389896206,"474","481",9
"24",1,0.765863468565779,0.765863468565779,0.765863468565779,"483","483",40
"25",8,5.17964345418071,0.647455431772589,0.862172661158007,"523","530",10
"26",5,4.32108946419787,0.864217892839574,1.27901767417831,"533","537",81
"27",14,18.8223113008445,1.34445080720318,2.53916183049341,"614","627",15
"28",1,1.02489648525789,1.02489648525789,1.02489648525789,"629","629",27
"29",13,17.2518760624065,1.32706738941588,1.93722010163205,"656","668",35
"30",15,25.8602096103878,1.72401397402585,2.51213321907189,"691","705",17
"31",1,0.533315458110832,0.533315458110832,0.533315458110832,"708","708",17
"32",1,0.802163683421694,0.802163683421694,0.802163683421694,"725","725",4
"33",1,0.75317088533308,0.75317088533308,0.75317088533308,"729","729",2
"34",2,2.624817762771,1.3124088813855,1.32197430695104,"731","732",NA
