"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",17,17.6894593711508,1.04055643359711,1.48551747830895,"43","59",18
"2",2,2.09962679147894,1.04981339573947,1.07065552701553,"61","62",4
"3",2,1.2468731635984,0.623436581799201,0.731227029038038,"65","66",3
"4",30,33.2021755164131,1.10673918388044,2.11295954846984,"68","97",33
"5",4,3.02318947948325,0.755797369870813,0.948230545050616,"101","104",9
"6",1,0.682978387022701,0.682978387022701,0.682978387022701,"110","110",26
"7",1,0.812154380360665,0.812154380360665,0.812154380360665,"136","136",3
"8",6,4.24166966150236,0.706944943583727,0.879289594540446,"139","144",55
"9",1,0.663397956081876,0.663397956081876,0.663397956081876,"194","194",40
"10",4,2.40164716369962,0.600411790924905,0.789285749831367,"234","237",7
"11",4,3.9640326224618,0.99100815561545,1.3185225520194,"241","244",24
"12",3,2.14223536709648,0.714078455698825,0.818732484486635,"265","267",9
"13",4,3.02060700597831,0.755151751494577,0.946319841895528,"274","277",6
"14",13,12.6421696218897,0.972474586299205,1.27383183596699,"280","292",85
"15",1,0.525117437185116,0.525117437185116,0.525117437185116,"365","365",9
"16",6,4.40135819500846,0.733559699168076,1.00051401254907,"374","379",39
"17",7,8.58363437947823,1.2262334827826,1.58898425104358,"413","419",10
"18",14,14.3353819944998,1.02395585674999,1.7290664703879,"423","436",38
"19",12,11.5583690688414,0.963197422403448,1.31774927909195,"461","472",19
"20",12,9.53452481046243,0.794543734205202,1.18262030701177,"480","491",31
"21",23,27.8635738816336,1.21145973398407,1.83122196513901,"511","533",64
"22",2,1.30980726496788,0.654903632483942,0.657823987562146,"575","576",5
"23",14,15.0885935389128,1.07775668135091,1.6357625005392,"580","593",18
"24",1,0.501845723983684,0.501845723983684,0.501845723983684,"598","598",4
"25",12,22.8744216122907,1.90620180102423,2.48362338951041,"602","613",23
"26",2,1.56116242602065,0.780581213010325,1.02763888483876,"625","626",16
"27",3,2.04710397881836,0.682367992939452,0.775608860505251,"641","643",5
"28",16,19.887851557117,1.24299072231981,1.8570127687045,"646","661",19
"29",3,3.12467474908473,1.04155824969491,1.13450669629701,"665","667",4
"30",1,0.552084065732517,0.552084065732517,0.552084065732517,"669","669",9
"31",23,32.8643221903897,1.42888357349521,2.042095032326,"678","700",36
"32",8,8.10148259940812,1.01268532492602,1.4985293508507,"714","721",NA
