"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",1,1.05391774077449,1.05391774077449,1.05391774077449,"4","4",7
"2",7,6.3357547171838,0.905107816740544,1.30224027633166,"11","17",10
"3",1,0.713688449668644,0.713688449668644,0.713688449668644,"21","21",12
"4",6,7.25942487995831,1.20990414665972,1.86615808648605,"33","38",22
"5",2,1.71435007916471,0.857175039582357,0.865339164671419,"55","56",7
"6",2,2.46275970213681,1.2313798510684,1.52147221739293,"62","63",4
"7",1,0.834898569407172,0.834898569407172,0.834898569407172,"66","66",12
"8",1,1.00043186515734,1.00043186515734,1.00043186515734,"78","78",2
"9",1,0.974183769835252,0.974183769835252,0.974183769835252,"80","80",6
"10",3,2.35163231621202,0.783877438737339,0.88131852430449,"86","88",8
"11",1,0.633674814010681,0.633674814010681,0.633674814010681,"94","94",4
"12",3,2.3709846811504,0.790328227050135,0.883454492423673,"98","100",10
"13",7,9.68435588703357,1.38347941243337,2.8103077975141,"108","114",13
"14",1,0.548140403506027,0.548140403506027,0.548140403506027,"121","121",9
"15",4,4.80534242271743,1.20133560567936,1.74128508197019,"130","133",14
"16",2,1.62532209021553,0.812661045107766,0.906118329671052,"144","145",5
"17",1,0.746638974929245,0.746638974929245,0.746638974929245,"149","149",2
"18",3,3.14736461832055,1.04912153944018,1.22895298210367,"151","153",4
"19",4,4.65398715048351,1.16349678762088,1.74341651529339,"155","158",11
"20",1,0.657728070570467,0.657728070570467,0.657728070570467,"166","166",2
"21",2,1.57942220645236,0.789711103226179,1.00127991712843,"168","169",12
"22",1,0.858266612034676,0.858266612034676,0.858266612034676,"180","180",7
"23",3,2.78367205144939,0.927890683816464,1.11901709884253,"187","189",6
"24",4,5.49439858594193,1.37359964648548,1.94701563562905,"193","196",7
"25",1,0.997580013879005,0.997580013879005,0.997580013879005,"200","200",2
"26",3,4.99413277948323,1.66471092649441,1.95974730069566,"202","204",19
"27",3,3.40775824584882,1.13591941528294,1.48544231921782,"221","223",20
"28",7,6.69314635390194,0.956163764843134,1.3600702501434,"241","247",12
"29",3,2.54799620097266,0.849332066990886,1.05048988256086,"253","255",16
"30",1,0.737734309911318,0.737734309911318,0.737734309911318,"269","269",7
"31",3,3.57585160901212,1.19195053633737,1.74848975909433,"276","278",18
"32",1,0.651584484187878,0.651584484187878,0.651584484187878,"294","294",5
"33",2,1.07041235952472,0.53520617976236,0.554569100875937,"299","300",27
"34",1,0.602900647463933,0.602900647463933,0.602900647463933,"326","326",13
"35",1,0.563992891042154,0.563992891042154,0.563992891042154,"339","339",4
"36",2,1.47165184086143,0.735825920430714,0.922232807815841,"343","344",5
"37",4,3.31370663353872,0.82842665838468,1.07122243016088,"348","351",19
"38",3,2.73942116618979,0.913140388729929,1.18900917978602,"367","369",15
"39",1,1.33915416945476,1.33915416945476,1.33915416945476,"382","382",2
"40",1,0.787641610011694,0.787641610011694,0.787641610011694,"384","384",2
"41",2,2.27755204752313,1.13877602376157,1.77442157268147,"386","387",24
"42",1,0.569730499894995,0.569730499894995,0.569730499894995,"410","410",8
"43",5,5.61489552819463,1.12297910563893,1.61608255541032,"418","422",7
"44",5,5.22546815497849,1.0450936309957,1.48061650821426,"425","429",8
"45",1,0.656459850692909,0.656459850692909,0.656459850692909,"433","433",2
"46",3,4.67634476929157,1.55878158976386,1.68355626797752,"435","437",5
"47",3,3.67938462883359,1.22646154294453,1.2661474349666,"440","442",7
"48",1,0.629462969502323,0.629462969502323,0.629462969502323,"447","447",6
"49",1,0.534177737387648,0.534177737387648,0.534177737387648,"453","453",17
"50",5,7.78614070566016,1.55722814113203,2.83114218367651,"470","474",6
"51",2,1.88112097159453,0.940560485797265,1.14657300294842,"476","477",7
"52",1,0.577216419244023,0.577216419244023,0.577216419244023,"483","483",12
"53",1,0.590526889429012,0.590526889429012,0.590526889429012,"495","495",12
"54",1,0.858449219511207,0.858449219511207,0.858449219511207,"507","507",7
"55",1,0.929378901082221,0.929378901082221,0.929378901082221,"514","514",10
"56",3,4.00307833023308,1.33435944341103,1.57256038421042,"524","526",6
"57",1,1.02225870408472,1.02225870408472,1.02225870408472,"530","530",2
"58",7,7.6862448458028,1.09803497797183,2.11698572693216,"532","538",10
"59",2,1.24827171664611,0.624135858323057,0.686157869987066,"542","543",17
"60",1,0.770676589783547,0.770676589783547,0.770676589783547,"559","559",5
"61",2,2.43140351147324,1.21570175573662,1.49130043241612,"564","565",7
"62",1,1.08574748327141,1.08574748327141,1.08574748327141,"571","571",6
"63",2,1.55677124917026,0.77838562458513,1.0566213676637,"577","578",5
"64",1,0.501674418017695,0.501674418017695,0.501674418017695,"582","582",2
"65",4,4.22488933357428,1.05622233339357,1.48421632733015,"584","587",9
"66",3,2.9326693072139,0.977556435737968,1.32364042686415,"593","595",7
"67",1,1.03027504159562,1.03027504159562,1.03027504159562,"600","600",8
"68",2,1.93008318139717,0.965041590698587,1.13519852049492,"608","609",3
"69",1,0.519734541806232,0.519734541806232,0.519734541806232,"611","611",2
"70",11,17.6647714308777,1.60588831189797,2.55431467890268,"613","623",14
"71",1,0.723265515106853,0.723265515106853,0.723265515106853,"627","627",4
"72",1,1.11325238640239,1.11325238640239,1.11325238640239,"631","631",4
"73",1,0.580956694266864,0.580956694266864,0.580956694266864,"635","635",2
"74",1,0.617357780647498,0.617357780647498,0.617357780647498,"637","637",5
"75",3,3.101232428463,1.033744142821,1.64804715628006,"642","644",15
"76",7,5.77667095712454,0.825238708160649,1.55250091052588,"657","663",10
"77",3,2.07320040647444,0.691066802158147,0.973031411466254,"667","669",9
"78",1,0.595442295822439,0.595442295822439,0.595442295822439,"676","676",2
"79",1,0.550869364531013,0.550869364531013,0.550869364531013,"678","678",2
"80",1,0.871040534063775,0.871040534063775,0.871040534063775,"680","680",4
"81",1,0.696738871221029,0.696738871221029,0.696738871221029,"684","684",5
"82",6,12.8731138693093,2.14551897821822,3.4436237503736,"689","694",10
"83",7,10.4784029981909,1.49691471402727,2.44078676904814,"699","705",16
"84",2,1.62315131989403,0.811575659947015,1.06326156137888,"715","716",3
"85",1,0.766020868394622,0.766020868394622,0.766020868394622,"718","718",2
"86",1,1.04975546950386,1.04975546950386,1.04975546950386,"720","720",2
"87",4,4.32002548308265,1.08000637077066,1.42480342424705,"722","725",5
"88",6,9.13979492586055,1.52329915431009,2.45344018038246,"727","732",NA
