"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",7,5.50820322746408,0.786886175352011,1.06101524577066,"15","21",28
"2",2,1.77046566492287,0.885232832461434,0.975997417404885,"43","44",18
"3",7,6.55009258049914,0.935727511499877,1.33266725266124,"61","67",20
"4",3,1.7270583059945,0.575686101998167,0.618703410355912,"81","83",5
"5",3,2.65033476458072,0.883444921526908,1.01910536759422,"86","88",15
"6",3,1.83165115536012,0.610550385120039,0.663755030755412,"101","103",11
"7",7,6.99444056759746,0.999205795371066,1.33623930343414,"112","118",8
"8",1,0.512320547930564,0.512320547930564,0.512320547930564,"120","120",31
"9",10,11.8197186403784,1.18197186403784,1.79653853414428,"151","160",38
"10",1,0.776959123255565,0.776959123255565,0.776959123255565,"189","189",5
"11",13,17.6000001210266,1.35384616315589,2.1432189322051,"194","206",50
"12",6,4.78334869695469,0.797224782825781,1.14552746316842,"244","249",102
"13",1,0.657806496776825,0.657806496776825,0.657806496776825,"346","346",2
"14",5,3.95182469933765,0.790364939867529,0.997218843316836,"348","352",36
"15",6,3.9216447080562,0.653607451342701,0.910159953410611,"384","389",40
"16",9,10.180867043318,1.13120744925756,2.19942016232006,"424","432",10
"17",14,18.2404872891386,1.30289194922418,1.93707857481504,"434","447",15
"18",1,0.578654303041913,0.578654303041913,0.578654303041913,"449","449",27
"19",8,7.95185875454656,0.99398234431832,1.35328013421841,"476","483",53
"20",2,1.42292787484185,0.711463937420926,0.838023278561795,"529","530",3
"21",12,16.9916501269846,1.41597084391538,2.02296638391126,"532","543",52
"22",17,17.1817714137412,1.01069243610243,1.62839909534821,"584","600",30
"23",19,38.1864590913446,2.00981363638656,3.48691306739456,"614","632",23
"24",1,1.18420002801515,1.18420002801515,1.18420002801515,"637","637",23
"25",10,9.48201481146636,0.948201481146636,1.1589291570358,"660","669",29
"26",26,44.6291714136341,1.71650659283208,2.6240656090378,"689","714",33
"27",11,19.8291966567003,1.8026542415182,2.7649170222912,"722","732",NA
