,Month,Year,P,Tmean,RH
1,1,1950,54.68,-3.62,76.80
2,2,1950,33.08,-1.04,78.50
3,3,1950,54.60,4.57,71.07
4,4,1950,42.77,13.46,57.38
5,5,1950,113.49,14.34,70.70
6,6,1950,33.31,17.82,49.86
7,7,1950,3.42,21.09,37.67
8,8,1950,3.95,20.10,34.30
9,9,1950,2.11,18.93,37.15
10,10,1950,28.96,9.82,59.12
11,11,1950,18.73,5.28,69.97
