,Month,Year,P,Tmean,RH
168,12,1963,26.20,2.70,68.90
169,1,1964,19.90,-7.50,63.50
170,2,1964,27.90,1.40,77.70
171,3,1964,39.10,7.00,70.80
172,4,1964,22.30,9.70,52.70
173,5,1964,49.10,14.30,64.50
174,6,1964,76.50,18.90,61.50
175,7,1964,2.30,22.60,48.70
176,8,1964,0.00,21.50,49.20
177,9,1964,1.70,16.60,61.80
178,10,1964,0.10,12.50,61.60
179,11,1964,42.50,6.80,75.70
180,12,1964,70.50,3.50,80.10
181,1,1965,27.00,1.30,82.80
182,2,1965,65.70,1.70,76.90
183,3,1965,24.30,6.90,67.10
184,4,1965,39.80,10.90,63.90
185,5,1965,70.10,14.40,59.50
186,6,1965,15.40,20.30,43.50
187,7,1965,0.00,22.90,43.40
188,8,1965,0.00,23.30,52.00
189,9,1965,0.00,17.70,45.30
190,10,1965,35.20,8.00,66.10
191,11,1965,34.60,6.50,70.00
192,12,1965,74.20,3.90,80.80
193,1,1966,63.00,3.70,79.00
194,2,1966,20.50,5.40,73.10
195,3,1966,30.70,6.60,65.80
196,4,1966,10.50,11.60,60.50
197,5,1966,12.80,14.80,53.00
198,6,1966,1.80,20.20,41.90
199,7,1966,2.00,23.70,35.60
200,8,1966,0.00,24.40,37.20
201,9,1966,12.00,17.60,49.20
202,10,1966,2.20,14.30,56.00
203,11,1966,56.90,10.20,70.60
204,12,1966,48.60,3.70,80.80
205,1,1967,22.60,-0.20,79.20
206,2,1967,32.60,-2.90,81.10
207,3,1967,65.60,3.50,77.00
208,4,1967,34.00,9.80,62.00
209,5,1967,52.00,14.70,62.80
210,6,1967,10.90,18.50,48.00
211,7,1967,3.60,21.40,42.80
212,8,1967,0.00,21.50,43.00
213,9,1967,1.90,17.30,46.40
214,10,1967,19.40,11.90,65.50
215,11,1967,30.60,5.20,78.20
216,12,1967,31.40,3.70,77.50
217,1,1968,113.40,-1.00,80.90
218,2,1968,26.50,0.60,79.70
219,3,1968,42.10,4.90,68.50
220,4,1968,6.10,13.50,50.30
221,5,1968,22.90,17.30,55.10
222,6,1968,22.00,19.00,51.20
223,7,1968,1.20,23.10,37.50
224,8,1968,16.30,21.30,42.30
225,9,1968,24.00,17.40,55.10
226,10,1968,24.50,12.00,68.00
227,11,1968,72.90,8.00,74.90
228,12,1968,77.20,4.70,80.20
229,1,1969,113.50,0.00,82.20
230,2,1969,22.20,2.40,76.60
231,3,1969,85.10,7.30,72.10
232,4,1969,16.60,8.10,64.60
233,5,1969,56.90,16.00,63.10
234,6,1969,5.80,20.80,46.80
235,7,1969,3.10,21.10,41.20
236,8,1969,0.00,22.40,38.50
237,9,1969,52.70,18.30,51.20
238,10,1969,24.70,12.00,64.30
239,11,1969,41.10,6.20,70.90
240,12,1969,43.20,5.50,73.40
241,1,1970,48.00,4.60,76.10
242,2,1970,14.70,5.80,66.90
243,3,1970,31.10,7.70,64.10
244,4,1970,15.70,13.10,53.80
245,5,1970,9.50,15.40,51.20
246,6,1970,20.60,20.10,47.60
247,7,1970,20.40,23.20,47.70
248,8,1970,0.00,21.00,44.10
249,9,1970,14.30,16.80,52.50
250,10,1970,38.10,10.50,69.00
251,11,1970,52.20,8.20,74.00
252,12,1970,39.10,0.40,78.10
253,1,1971,22.60,4.70,65.60
254,2,1971,42.10,2.30,72.50
255,3,1971,23.90,6.70,65.00
256,4,1971,144.10,9.10,70.10
257,5,1971,25.70,15.70,59.10
258,6,1971,17.80,19.40,54.40
259,7,1971,0.00,23.40,49.60
260,8,1971,4.20,21.40,53.50
261,9,1971,0.00,19.10,52.70
262,10,1971,22.10,10.00,63.60
263,11,1971,23.70,7.10,66.50
264,12,1971,47.80,0.70,74.70
265,1,1972,34.10,-6.80,79.10
266,2,1972,65.90,-4.00,75.50
267,3,1972,23.10,5.50,63.10
268,4,1972,62.70,13.10,57.70
269,5,1972,41.70,15.20,61.60
270,6,1972,17.30,19.80,58.40
271,7,1972,5.60,24.00,50.60
272,8,1972,1.20,22.80,54.80
273,9,1972,3.20,19.70,55.00
274,10,1972,22.90,13.20,61.80
275,11,1972,6.90,5.20,65.40
276,12,1972,1.80,-2.30,65.80
277,1,1973,16.00,-1.50,71.30
278,2,1973,39.40,4.70,60.60
279,3,1973,37.90,4.80,62.50
280,4,1973,20.60,10.60,55.80
281,5,1973,29.30,16.20,54.70
