,Month,Year,P,Tmean,RH
1,1,1950,49.26,-2.32,73.71
2,2,1950,35.28,0.20,74.02
3,3,1950,48.36,5.79,70.36
4,4,1950,48.40,14.53,51.73
5,5,1950,111.61,14.78,68.00
6,6,1950,21.58,17.90,54.28
7,7,1950,3.50,20.72,51.97
8,8,1950,0.75,19.83,52.35
9,9,1950,0.53,18.73,53.05
10,10,1950,31.25,10.25,64.20
11,11,1950,19.67,6.28,65.46
